customer_id,age,city,total_spent,purchase_count,last_purchase,segment
CUST00041,35,Konya,4692.26,86,2026-06-15,Basic
CUST00042,20,Mersin,7753.35,29,2026-01-18,Standard
CUST00043,49,Ankara,5110.05,90,2025-12-10,Premium
CUST00044,35,Mersin,4752.42,66,2026-04-17,Standard
CUST00045,33,Adana,723.09,94,2026-04-28,Premium
CUST00046,52,Kayseri,9272.43,44,2026-05-03,Basic
CUST00047,37,Ankara,787.8,33,2025-07-17,Basic
CUST00048,51,Antalya,5551.91,56,2025-11-17,Standard
CUST00049,66,Istanbul,5948.54,88,2026-02-08,Basic
CUST00050,53,Bursa,2314.36,87,2025-12-06,Basic
CUST00051,18,Bursa,2169.73,81,2025-08-10,Basic
CUST00052,51,Bursa,914.14,23,2025-10-22,Standard
CUST00053,36,Istanbul,8306.97,48,2026-02-08,Basic
CUST00054,61,Bursa,4707.95,99,2025-09-27,Premium
CUST00055,29,Konya,7726.15,84,2026-02-25,Premium
CUST00056,38,Konya,7574.08,18,2025-07-29,Standard
CUST00057,24,Izmir,2547.57,50,2025-10-18,Basic
CUST00058,44,Izmir,850.93,57,2025-09-24,Premium
CUST00059,30,Mersin,9263.69,33,2025-11-07,Basic
CUST00060,34,Antalya,7743.21,98,2025-12-21,Standard
CUST00061,46,Antalya,2654.44,12,2026-07-05,Standard
CUST00062,31,Bursa,5826.19,96,2025-10-19,Basic
CUST00063,63,Bursa,8383.08,42,2025-10-18,Standard
CUST00064,25,Istanbul,5744.72,73,2026-02-21,Standard
CUST00065,63,Adana,4028.03,60,2025-12-19,Premium
CUST00066,49,Ankara,7381.01,94,2025-12-10,Basic
CUST00067,23,Adana,3122.34,80,2025-11-11,Standard
CUST00068,25,Kayseri,5534.11,86,2026-05-07,Standard
CUST00069,19,Kayseri,9966.45,20,2025-10-26,Standard
CUST00070,35,Adana,6379.22,75,2026-03-27,Standard
CUST00071,70,Adana,2321.76,99,2026-06-22,Standard
CUST00072,38,Adana,706.16,91,2026-01-04,Basic
CUST00073,44,Istanbul,6087.3,86,2025-07-26,Standard
CUST00074,49,Bursa,8546.58,62,2026-05-03,Basic
CUST00075,57,Bursa,7741.48,49,2026-02-07,Premium
CUST00076,19,Ankara,2729.72,5,2025-07-29,Standard
CUST00077,19,Ankara,1795.14,88,2025-07-15,Basic
CUST00078,39,Izmir,8394.42,51,2025-07-17,Standard
CUST00079,42,Istanbul,1625.97,27,2026-03-04,Basic
CUST00080,60,Mersin,474.47,33,2026-05-31,Basic
CUST00081,56,Konya,2656.12,1,2026-05-15,Standard
CUST00082,66,Antalya,9041.82,79,2025-07-20,Standard
CUST00083,31,Mersin,7126.67,20,2026-04-14,Standard
CUST00084,40,Istanbul,606.22,4,2026-04-12,Standard
CUST00085,64,Bursa,4344.2,56,2025-12-15,Premium
CUST00086,58,Kayseri,9941.29,78,2025-11-07,Premium
CUST00087,57,Istanbul,2956.25,31,2026-01-10,Basic
CUST00088,35,Mersin,416.04,25,2026-04-18,Standard
CUST00089,38,Bursa,8659.56,68,2026-07-03,Premium
CUST00090,66,Adana,8634.88,91,2026-05-24,Standard
CUST00091,29,Kayseri,8599.48,14,2026-03-04,Basic
CUST00092,54,Izmir,7751.51,74,2026-04-05,Basic
CUST00093,63,Ankara,9685.21,54,2025-12-10,Standard
CUST00094,19,Bursa,2157.87,23,2026-05-30,Premium
CUST00095,36,Mersin,3107.49,47,2026-03-20,Premium
CUST00096,33,Kayseri,9985.91,70,2026-04-27,Basic
CUST00097,70,Istanbul,7748.96,18,2026-01-12,Standard
CUST00098,34,Izmir,9144.09,67,2026-04-22,Standard
CUST00099,38,Bursa,2759.68,39,2025-09-28,Basic
CUST00100,46,Adana,5644.5,46,2025-11-13,Premium
CUST00101,19,Istanbul,2034.84,94,2025-11-23,Premium
CUST00102,54,Bursa,1645.74,35,2026-05-03,Basic
CUST00103,37,Konya,192.48,47,2026-07-06,Basic
CUST00104,33,Adana,7755.84,45,2026-04-16,Standard
CUST00105,48,Istanbul,6592.26,60,2025-09-22,Basic
CUST00106,28,Gaziantep,4730.65,68,2026-03-25,Standard
CUST00107,35,Kayseri,3904.58,75,2025-07-27,Standard
CUST00108,24,Ankara,872.85,6,2025-10-04,Basic
CUST00109,29,Antalya,7932.21,43,2026-04-19,Standard
CUST00110,20,Ankara,4316.58,68,2025-07-23,Basic
CUST00111,48,Istanbul,9507.81,57,2025-12-16,Premium
CUST00112,19,Izmir,3702.69,17,2026-02-23,Standard
CUST00113,65,Antalya,1887.11,76,2026-05-11,Standard
CUST00114,22,Gaziantep,8920.94,64,2025-10-21,Basic
CUST00115,41,Adana,8976.17,32,2025-09-13,Standard
CUST00116,65,Kayseri,6435.46,41,2026-02-05,Standard
CUST00117,20,Adana,1181.48,18,2025-11-18,Standard
CUST00118,65,Gaziantep,2379.2,99,2025-09-07,Basic
CUST00119,28,Gaziantep,2597.68,75,2026-02-16,Premium
CUST00120,65,Istanbul,8308.81,62,2025-08-10,Standard
CUST00121,18,Adana,6551.79,14,2026-05-30,Basic
CUST00122,59,Istanbul,3967.42,80,2025-09-09,Basic
CUST00123,22,Adana,7623.39,73,2026-06-24,Standard
CUST00124,68,Izmir,8607.23,93,2026-07-10,Premium
CUST00125,33,Ankara,6078.64,23,2025-12-17,Standard
CUST00126,60,Izmir,706.99,62,2026-06-02,Standard
CUST00127,54,Mersin,5715.08,70,2026-07-12,Standard
CUST00128,33,Kayseri,2468.2,84,2025-07-26,Standard
CUST00129,69,Bursa,8683.83,71,2026-01-11,Basic
CUST00130,34,Mersin,5609.63,65,2026-04-10,Basic
CUST00131,37,Konya,8042.71,64,2025-11-18,Standard
CUST00132,21,Istanbul,4689.04,40,2026-04-20,Basic
CUST00133,64,Konya,1196.03,55,2026-06-20,Standard
CUST00134,37,Izmir,8188.36,31,2025-08-13,Premium
CUST00135,30,Gaziantep,3673.02,85,2025-12-19,Premium
CUST00136,63,Gaziantep,5571.04,41,2025-08-26,Standard
CUST00137,43,Izmir,1020.09,84,2026-03-30,Basic
CUST00138,23,Antalya,3560.14,24,2026-05-17,Standard
CUST00139,56,Konya,4475.17,37,2025-08-31,Standard
CUST00140,49,Kayseri,4791.89,56,2025-10-08,Standard
CUST00141,36,Kayseri,4036.09,89,2025-10-02,Standard
CUST00142,20,Izmir,9686.79,71,2025-08-06,Basic
CUST00143,41,Istanbul,8703.14,34,2026-03-22,Premium
CUST00144,60,Ankara,8497.63,56,2025-10-09,Basic
CUST00145,22,Kayseri,5472.37,69,2025-11-20,Basic
CUST00146,66,Bursa,1444.89,30,2025-11-26,Basic
CUST00147,51,Kayseri,4470.23,57,2026-06-02,Basic
CUST00148,25,Antalya,6990.33,45,2026-02-19,Standard
CUST00149,18,Istanbul,554.56,5,2025-10-25,Basic
CUST00150,18,Konya,9739.56,11,2025-11-17,Basic
CUST00151,24,Adana,3794.66,86,2026-05-28,Basic
CUST00152,70,Istanbul,9672.15,19,2026-03-25,Basic
CUST00153,46,Bursa,7575.78,1,2025-08-13,Standard
CUST00154,34,Antalya,9863.75,73,2025-09-25,Standard
CUST00155,36,Konya,8783.77,96,2025-12-20,Basic
CUST00156,37,Ankara,5830.93,34,2025-10-20,Basic
CUST00157,29,Istanbul,3379.27,71,2025-09-26,Premium
CUST00158,61,Kayseri,195.23,22,2026-06-15,Basic
CUST00159,70,Istanbul,963.21,47,2026-04-12,Premium
CUST00160,55,Gaziantep,4859.73,24,2026-05-11,Premium
CUST00161,38,Istanbul,5120.49,81,2025-08-07,Standard
CUST00162,29,Antalya,1360.82,61,2026-03-20,Standard
CUST00163,53,Ankara,5554.69,54,2026-02-27,Standard
CUST00164,19,Mersin,7028.45,42,2025-08-13,Standard
CUST00165,48,Antalya,8941.42,11,2026-06-19,Basic
CUST00166,30,Bursa,842.87,32,2025-10-26,Basic
CUST00167,69,Istanbul,2873.8,14,2026-03-03,Standard
CUST00168,54,Istanbul,7100.85,40,2026-05-17,Standard
CUST00169,26,Adana,6352.29,50,2025-10-12,Standard
CUST00170,69,Konya,2101.02,78,2026-05-09,Standard
CUST00171,22,Konya,9559.71,32,2025-08-09,Standard
CUST00172,36,Istanbul,1123.13,36,2026-03-28,Standard
CUST00173,46,Gaziantep,6266.86,91,2025-12-02,Standard
CUST00174,21,Adana,9941.57,4,2025-10-03,Standard
CUST00175,42,Gaziantep,6968.2,51,2025-08-12,Basic
CUST00176,49,Istanbul,9181.9,39,2025-10-23,Standard
CUST00177,53,Ankara,1047.43,85,2026-05-31,Standard
CUST00178,59,Adana,7428.41,89,2026-02-06,Basic
CUST00179,51,Istanbul,2108.04,11,2026-07-05,Basic
CUST00180,41,Gaziantep,4852.25,8,2026-04-12,Basic
CUST00181,46,Adana,838.22,45,2026-05-21,Basic
CUST00182,21,Gaziantep,3295.46,65,2026-05-09,Standard
CUST00183,52,Ankara,4172.14,40,2026-04-11,Premium
CUST00184,58,Bursa,3470.7,10,2026-04-30,Basic
CUST00185,61,Konya,1357.99,12,2026-01-16,Premium
CUST00186,35,Mersin,4711.22,30,2025-12-31,Premium
CUST00187,51,Konya,4318.2,67,2025-10-16,Standard
CUST00188,66,Adana,5667.6,36,2025-11-09,Premium
CUST00189,34,Konya,7981.98,52,2025-11-24,Standard
CUST00190,48,Adana,2200.03,33,2026-01-03,Standard
CUST00191,49,Bursa,7199.16,18,2026-04-20,Standard
CUST00192,24,Antalya,9846.76,97,2026-05-05,Basic
CUST00193,59,Antalya,3170.21,57,2025-11-06,Standard
CUST00194,67,Antalya,3831.46,1,2025-10-24,Premium
CUST00195,25,Konya,4178.93,84,2026-03-27,Standard
CUST00196,62,Gaziantep,2120.31,35,2026-02-21,Standard
CUST00197,21,Kayseri,730.26,50,2025-08-03,Standard
CUST00198,68,Kayseri,7265.94,28,2025-09-10,Standard
CUST00199,58,Mersin,2116.78,45,2026-04-25,Standard
CUST00200,21,Mersin,9163.15,17,2025-12-29,Basic
CUST00201,42,Konya,2071.79,53,2025-11-29,Basic
CUST00202,36,Istanbul,9051.54,21,2025-12-24,Standard
CUST00203,35,Mersin,4687.94,99,2025-09-14,Standard
CUST00204,21,Ankara,3681.47,86,2026-05-21,Standard
CUST00205,45,Kayseri,7143.84,71,2025-07-30,Standard
CUST00206,23,Antalya,6332.55,72,2026-06-15,Basic
CUST00207,25,Bursa,7225.57,23,2025-08-18,Basic
CUST00208,50,Kayseri,6123.88,97,2026-04-24,Basic
CUST00209,49,Adana,8492.47,19,2026-06-21,Premium
CUST00210,19,Adana,1108.08,84,2026-04-19,Premium
CUST00211,49,Antalya,3016.89,46,2026-04-15,Basic
CUST00212,52,Kayseri,5265.85,20,2026-01-20,Premium
CUST00213,33,Konya,8343.01,44,2026-05-19,Premium
CUST00214,70,Adana,6796.59,46,2025-11-29,Premium
CUST00215,39,Antalya,5739.2,5,2026-05-26,Premium
CUST00216,47,Istanbul,761.9,40,2025-11-10,Standard
CUST00217,55,Mersin,2219.52,21,2026-01-12,Basic
CUST00218,67,Adana,9161.61,1,2026-05-02,Basic
CUST00219,39,Ankara,172.57,40,2025-11-06,Basic
CUST00220,57,Gaziantep,2246.69,42,2026-01-14,Premium
CUST00221,51,Istanbul,1455.56,95,2025-10-08,Basic
CUST00222,64,Bursa,6692.82,64,2026-06-07,Basic
CUST00223,68,Istanbul,3743.96,25,2026-04-12,Standard
CUST00224,39,Adana,6295.93,70,2025-07-13,Standard
CUST00225,46,Izmir,7573.04,8,2026-04-26,Basic
CUST00226,49,Kayseri,8714.33,60,2026-01-26,Basic
CUST00227,51,Antalya,4448.76,51,2025-10-11,Premium
CUST00228,70,Ankara,9260.1,99,2026-06-07,Basic
CUST00229,27,Ankara,793.28,27,2025-10-07,Basic
CUST00230,38,Istanbul,4091.54,15,2025-12-06,Standard
CUST00231,35,Adana,397.55,45,2025-11-05,Standard
CUST00232,29,Gaziantep,2608.93,62,2026-03-12,Basic
CUST00233,65,Antalya,9205.35,58,2025-11-26,Basic
CUST00234,68,Bursa,8952.28,92,2026-07-03,Standard
CUST00235,31,Bursa,127.76,19,2025-12-22,Basic
CUST00236,28,Adana,494.94,2,2026-07-03,Premium
CUST00237,49,Kayseri,6705.7,51,2026-02-04,Standard
CUST00238,61,Mersin,5561.11,75,2025-12-10,Standard
CUST00239,28,Konya,6790.67,71,2026-04-04,Standard
CUST00240,51,Adana,4239.02,29,2025-11-29,Standard
CUST00241,52,Adana,6949.72,58,2026-04-17,Standard
CUST00242,49,Kayseri,6005.59,81,2026-01-22,Standard
CUST00243,59,Kayseri,9641.06,60,2025-09-10,Standard
CUST00244,19,Bursa,6629.28,23,2026-01-16,Standard
CUST00245,25,Adana,744.44,67,2026-02-12,Basic
CUST00246,44,Gaziantep,1393.61,1,2025-08-12,Standard
CUST00247,55,Ankara,3454.75,56,2025-12-30,Premium
CUST00248,55,Gaziantep,5761.56,69,2025-11-01,Standard
CUST00249,42,Izmir,5886.16,76,2025-09-14,Standard
CUST00250,45,Mersin,5918.78,79,2026-03-09,Standard
CUST00251,62,Adana,7517.49,2,2025-10-15,Standard
CUST00252,26,Gaziantep,5882.25,64,2026-01-13,Premium
CUST00253,30,Istanbul,3990.14,68,2025-07-31,Standard
CUST00254,27,Konya,4674.26,65,2025-12-22,Standard
CUST00255,32,Antalya,5441.93,78,2026-05-21,Standard
CUST00256,38,Konya,5271.02,11,2025-07-15,Standard
CUST00257,33,Kayseri,5733.54,88,2026-05-26,Basic
CUST00258,20,Ankara,8084.88,25,2026-03-07,Standard
CUST00259,62,Bursa,3948.84,28,2025-12-26,Standard
CUST00260,26,Gaziantep,7579.44,47,2026-04-19,Standard
CUST00261,36,Mersin,7825.03,55,2026-07-07,Basic
CUST00262,58,Gaziantep,411.77,71,2025-11-25,Standard
CUST00263,39,Izmir,5119.15,47,2026-05-23,Premium
CUST00264,33,Bursa,3437.26,71,2025-10-14,Premium
CUST00265,34,Gaziantep,4839.48,34,2026-03-26,Premium
CUST00266,63,Adana,6725.78,10,2026-06-24,Basic
CUST00267,41,Mersin,7592.4,42,2026-06-12,Standard
CUST00268,63,Bursa,391.06,68,2026-02-14,Premium
CUST00269,53,Antalya,4546.87,80,2025-08-23,Standard
CUST00270,64,Izmir,5583.96,70,2025-11-12,Basic
CUST00271,39,Adana,1778.66,41,2025-09-22,Standard
CUST00272,22,Izmir,4911.48,28,2025-09-06,Standard
CUST00273,60,Istanbul,4579.29,85,2025-08-31,Basic
CUST00274,21,Izmir,7309.86,99,2026-03-31,Standard
CUST00275,34,Istanbul,6550.84,95,2026-06-26,Standard
CUST00276,29,Izmir,7367.87,87,2025-09-26,Basic
CUST00277,55,Adana,9165.99,52,2026-04-04,Premium
CUST00278,60,Izmir,4806.02,60,2025-07-26,Standard
CUST00279,40,Kayseri,5626.79,48,2026-01-25,Premium
CUST00280,38,Konya,5005.85,20,2025-12-28,Basic
CUST00281,32,Konya,433.19,55,2026-05-21,Basic
CUST00282,25,Adana,1410.09,72,2025-08-28,Basic
CUST00283,34,Mersin,3663.22,5,2026-03-04,Basic
CUST00284,51,Mersin,9915.16,74,2026-05-18,Premium
CUST00285,48,Izmir,8848.95,69,2025-11-24,Basic
CUST00286,28,Konya,4552.43,14,2025-12-12,Standard
CUST00287,21,Mersin,4584.2,35,2026-02-13,Basic
CUST00288,50,Izmir,2085.01,98,2026-03-15,Standard
CUST00289,50,Adana,6715.02,1,2026-02-13,Premium
CUST00290,37,Kayseri,4918.4,75,2026-02-05,Standard
CUST00291,52,Izmir,7984.42,85,2026-05-09,Standard
CUST00292,66,Adana,6673.33,54,2026-04-23,Standard
CUST00293,31,Istanbul,3393.57,17,2026-01-30,Basic
CUST00294,22,Izmir,3521.19,41,2026-03-15,Standard
CUST00295,46,Kayseri,2853.61,86,2025-07-31,Standard
CUST00296,30,Mersin,6793.46,81,2026-04-24,Standard
CUST00297,53,Izmir,198.25,43,2026-03-20,Basic
CUST00298,39,Konya,5175.92,3,2026-02-22,Basic
CUST00299,63,Istanbul,4328.63,72,2026-06-03,Standard
CUST00300,54,Mersin,7737.99,79,2025-09-13,Premium
