date,product,category,region,price,quantity,total
2026-01-31,Smartphone X,Electronics,North,717.06,3,2151.18
2026-01-29,External SSD,Computers,North,184.52,4,738.1
2026-05-08,Smartphone X,Gaming,South,954.69,4,3818.78
2026-01-17,Tablet Air,Electronics,South,480.39,1,480.39
2026-01-29,Keyboard Mech,Electronics,West,121.7,5,608.52
2026-05-22,Keyboard Mech,Gaming,East,109.55,3,328.66
2026-05-17,Keyboard Mech,Computers,Central,98.33,1,98.33
2026-04-11,Smartphone X,Audio,Central,742.9,1,742.9
2026-01-25,Keyboard Mech,Gaming,South,110.47,1,110.47
2026-06-23,Smartphone X,Accessories,South,782.52,2,1565.05
2026-07-08,External SSD,Gaming,East,229.63,3,688.88
2026-04-29,Monitor Ultra,Gaming,South,377.58,3,1132.75
2026-06-23,Tablet Air,Accessories,Central,584.62,2,1169.23
2026-04-30,Monitor Ultra,Electronics,East,370.55,1,370.55
2026-02-01,Monitor Ultra,Gaming,South,304.29,5,1521.44
2026-05-22,Mouse Pro,Accessories,South,94.05,2,188.11
2026-03-01,Tablet Air,Accessories,North,441.36,3,1324.08
2026-01-18,Keyboard Mech,Electronics,North,142.01,5,710.03
2026-04-09,External SSD,Electronics,West,183.23,4,732.94
2026-03-07,Smart Watch,Electronics,South,254.96,5,1274.8
2026-02-07,External SSD,Computers,Central,186.82,1,186.82
2026-04-01,External SSD,Electronics,Central,235.43,5,1177.13
2026-04-20,Wireless Earbuds,Electronics,East,147.88,2,295.77
2026-04-06,Laptop Pro,Audio,South,1105.74,1,1105.74
2026-02-28,Keyboard Mech,Electronics,North,111.74,1,111.74
2026-02-02,Gaming Console,Electronics,South,366.46,2,732.91
2026-02-26,Mouse Pro,Gaming,Central,80.64,4,322.56
2026-04-09,Smartphone X,Gaming,South,663.45,2,1326.89
2026-04-15,Laptop Pro,Electronics,East,1218.95,4,4875.81
2026-04-02,External SSD,Accessories,Central,180.12,3,540.36
2026-03-16,External SSD,Computers,Central,207.43,5,1037.15
2026-05-29,Mouse Pro,Gaming,Central,88.66,2,177.32
2026-06-28,External SSD,Gaming,East,177.71,3,533.13
2026-02-17,Monitor Ultra,Accessories,Central,282.43,3,847.29
2026-02-17,Smartphone X,Gaming,South,927.39,2,1854.78
2026-02-20,Mouse Pro,Audio,West,83.16,3,249.49
2026-01-30,External SSD,Computers,North,227.31,5,1136.57
2026-02-03,Mouse Pro,Electronics,Central,72.33,4,289.3
2026-05-26,Gaming Console,Gaming,North,513.33,4,2053.33
2026-01-24,Smartphone X,Gaming,East,758.69,2,1517.38
2026-06-30,Gaming Console,Accessories,West,445.7,2,891.39
2026-01-19,External SSD,Electronics,Central,232.28,2,464.57
2026-04-16,Monitor Ultra,Gaming,Central,349.26,3,1047.79
2026-04-05,Wireless Earbuds,Accessories,South,177.5,1,177.5
2026-05-29,Laptop Pro,Electronics,South,979.55,1,979.55
2026-01-16,Smartphone X,Audio,West,713.42,4,2853.69
2026-01-17,Smartphone X,Gaming,North,647.58,3,1942.74
2026-02-09,Keyboard Mech,Electronics,Central,106.67,2,213.34
2026-01-28,Tablet Air,Gaming,East,503.42,5,2517.1
2026-06-26,Smart Watch,Computers,East,326.29,1,326.29
2026-07-08,Monitor Ultra,Gaming,Central,389.77,4,1559.07
2026-04-10,Smartphone X,Accessories,West,812.8,4,3251.18
2026-02-05,Smart Watch,Computers,East,310.25,2,620.51
2026-01-28,Smart Watch,Accessories,Central,319.24,4,1276.96
2026-05-12,Smart Watch,Audio,West,303.61,3,910.83
2026-07-02,Gaming Console,Gaming,South,379.69,1,379.69
2026-06-08,External SSD,Electronics,West,193.8,1,193.8
2026-02-01,External SSD,Gaming,Central,223.38,2,446.76
2026-01-27,Laptop Pro,Gaming,West,1364.39,1,1364.39
2026-02-14,External SSD,Computers,Central,161.43,3,484.28
2026-05-14,Mouse Pro,Accessories,East,79.81,5,399.04
2026-05-04,External SSD,Electronics,South,173.72,1,173.72
2026-01-15,Smart Watch,Gaming,South,267.21,1,267.21
2026-03-24,Mouse Pro,Gaming,East,69.7,1,69.7
2026-02-26,Smart Watch,Electronics,North,253.48,2,506.95
2026-03-14,Smart Watch,Gaming,North,250.61,5,1253.04
2026-05-09,External SSD,Accessories,West,203.23,2,406.45
2026-05-03,Smart Watch,Gaming,North,302.57,4,1210.29
2026-01-17,Keyboard Mech,Electronics,Central,118.61,1,118.61
2026-06-13,Tablet Air,Computers,Central,478.99,2,957.97
2026-02-25,Laptop Pro,Computers,Central,1054.51,5,5272.55
2026-02-16,Wireless Earbuds,Computers,West,172.36,1,172.36
2026-07-09,Gaming Console,Electronics,South,411.0,2,822.01
2026-04-18,Monitor Ultra,Audio,North,338.93,4,1355.71
2026-02-01,Smartphone X,Computers,North,904.29,3,2712.88
2026-03-29,Keyboard Mech,Accessories,North,123.46,3,370.37
2026-04-02,Keyboard Mech,Gaming,South,134.14,1,134.14
2026-05-01,Smart Watch,Gaming,West,240.26,3,720.79
2026-02-16,Keyboard Mech,Accessories,South,110.43,4,441.71
2026-06-28,Gaming Console,Computers,South,475.83,3,1427.48
2026-06-30,Tablet Air,Accessories,North,459.67,3,1379.0
2026-06-23,Laptop Pro,Computers,South,1369.89,1,1369.89
2026-05-12,Monitor Ultra,Audio,South,406.51,4,1626.03
2026-01-16,Smart Watch,Audio,Central,355.88,1,355.88
2026-04-24,Keyboard Mech,Electronics,West,122.52,2,245.04
2026-06-20,Gaming Console,Computers,East,366.71,1,366.71
2026-03-18,Smart Watch,Electronics,East,356.95,4,1427.8
2026-02-14,Smart Watch,Accessories,North,280.84,5,1404.22
2026-01-30,Laptop Pro,Gaming,South,1041.83,3,3125.48
2026-06-13,Tablet Air,Accessories,East,418.54,1,418.54
2026-04-04,External SSD,Electronics,East,184.57,1,184.57
2026-01-17,Laptop Pro,Accessories,Central,1237.7,1,1237.7
2026-04-19,Keyboard Mech,Electronics,South,131.86,3,395.59
2026-05-25,Smart Watch,Accessories,North,338.42,1,338.42
2026-02-14,Mouse Pro,Audio,West,87.22,1,87.22
2026-02-08,Smart Watch,Gaming,North,271.23,4,1084.92
2026-04-27,Wireless Earbuds,Audio,East,151.41,5,757.04
2026-05-23,Wireless Earbuds,Electronics,East,143.75,1,143.75
2026-01-23,Smart Watch,Electronics,West,247.56,5,1237.82
2026-01-23,Keyboard Mech,Electronics,West,134.47,2,268.93
2026-07-09,Keyboard Mech,Electronics,East,99.2,2,198.39
2026-03-22,Wireless Earbuds,Computers,Central,136.04,4,544.15
2026-05-13,Wireless Earbuds,Electronics,East,178.26,3,534.78
2026-04-28,Smartphone X,Accessories,East,806.89,2,1613.78
2026-04-18,Smartphone X,Accessories,South,934.44,1,934.44
2026-03-25,Laptop Pro,Accessories,North,1436.91,3,4310.72
2026-05-04,Monitor Ultra,Accessories,North,285.35,2,570.71
2026-02-09,Tablet Air,Computers,West,554.61,1,554.61
2026-06-25,Gaming Console,Computers,East,493.07,4,1972.27
2026-04-01,Smartphone X,Computers,West,813.42,3,2440.26
2026-03-29,Mouse Pro,Electronics,North,70.78,1,70.78
2026-03-12,Gaming Console,Electronics,North,441.02,1,441.02
2026-06-08,Monitor Ultra,Electronics,South,370.54,2,741.09
2026-06-11,External SSD,Audio,East,164.34,5,821.68
2026-05-11,Smartphone X,Audio,Central,876.51,4,3506.04
2026-05-06,Wireless Earbuds,Accessories,West,156.59,1,156.59
2026-01-29,Monitor Ultra,Gaming,North,413.67,5,2068.37
2026-04-26,Keyboard Mech,Audio,North,109.27,5,546.34
2026-06-28,External SSD,Gaming,Central,198.12,5,990.62
2026-06-14,Monitor Ultra,Audio,West,361.75,4,1447.0
2026-06-27,Keyboard Mech,Gaming,East,111.84,2,223.69
2026-04-04,Gaming Console,Accessories,North,507.97,2,1015.93
2026-05-17,Tablet Air,Audio,Central,516.84,5,2584.19
2026-06-11,Gaming Console,Accessories,North,471.1,5,2355.51
2026-05-17,Tablet Air,Electronics,South,502.36,5,2511.79
2026-02-08,Gaming Console,Electronics,West,523.95,1,523.95
2026-02-17,Monitor Ultra,Gaming,Central,331.13,5,1655.63
2026-03-03,Tablet Air,Gaming,West,442.93,4,1771.72
2026-04-08,External SSD,Electronics,North,167.12,3,501.37
2026-03-19,Smart Watch,Audio,North,329.89,5,1649.45
2026-06-21,Mouse Pro,Accessories,West,70.96,3,212.89
2026-06-08,Smartphone X,Accessories,North,703.93,3,2111.79
2026-02-02,Tablet Air,Audio,East,564.18,3,1692.55
2026-04-02,Smartphone X,Gaming,Central,694.47,2,1388.95
2026-05-25,Tablet Air,Gaming,South,571.18,5,2855.88
2026-03-13,Smart Watch,Electronics,Central,259.62,3,778.85
2026-03-27,Smartphone X,Computers,Central,677.23,4,2708.91
2026-03-06,Mouse Pro,Accessories,Central,84.38,3,253.14
2026-06-21,Monitor Ultra,Computers,Central,302.57,5,1512.83
2026-04-03,External SSD,Audio,North,205.03,3,615.1
2026-07-06,Tablet Air,Audio,North,481.59,2,963.18
2026-02-09,Laptop Pro,Accessories,East,1309.75,4,5239.01
2026-06-25,External SSD,Accessories,East,169.39,3,508.18
2026-03-31,External SSD,Audio,South,184.04,3,552.13
2026-07-01,Smartphone X,Computers,East,918.77,4,3675.07
2026-07-01,Monitor Ultra,Electronics,West,303.11,3,909.34
2026-04-16,Monitor Ultra,Electronics,South,317.7,5,1588.52
2026-06-21,Keyboard Mech,Audio,East,97.29,1,97.29
2026-06-03,Wireless Earbuds,Electronics,Central,161.7,4,646.8
2026-03-14,Laptop Pro,Computers,North,1289.14,2,2578.28
2026-04-11,Keyboard Mech,Computers,West,120.41,5,602.03
2026-04-07,Laptop Pro,Electronics,West,1042.53,5,5212.63
2026-03-09,Gaming Console,Gaming,North,426.53,2,853.07
2026-01-23,Gaming Console,Audio,East,411.38,1,411.38
2026-06-25,Tablet Air,Audio,North,547.46,4,2189.84
2026-06-21,Tablet Air,Gaming,West,436.34,4,1745.38
2026-01-28,Laptop Pro,Accessories,South,1024.6,1,1024.6
2026-03-14,Tablet Air,Computers,South,438.04,3,1314.12
2026-07-03,External SSD,Accessories,West,187.52,2,375.03
2026-02-21,Gaming Console,Electronics,South,485.54,3,1456.61
2026-05-11,Monitor Ultra,Electronics,East,400.04,2,800.08
2026-03-30,Tablet Air,Gaming,East,415.77,5,2078.86
2026-06-15,Keyboard Mech,Accessories,West,109.41,2,218.82
2026-05-28,Keyboard Mech,Computers,East,143.6,1,143.6
2026-02-20,Gaming Console,Computers,Central,376.29,5,1881.45
2026-01-18,Keyboard Mech,Audio,North,112.43,4,449.72
2026-05-21,Wireless Earbuds,Audio,Central,172.19,5,860.97
2026-02-13,Keyboard Mech,Gaming,South,104.4,2,208.79
2026-01-23,External SSD,Audio,East,222.09,4,888.36
2026-04-18,Wireless Earbuds,Gaming,North,150.63,2,301.27
2026-03-19,External SSD,Gaming,Central,191.0,4,763.98
2026-02-06,Smart Watch,Electronics,West,275.17,3,825.51
2026-01-15,Smart Watch,Gaming,North,334.15,4,1336.59
2026-06-16,Tablet Air,Audio,South,492.55,1,492.55
2026-05-04,External SSD,Accessories,South,173.39,5,866.95
2026-01-30,Keyboard Mech,Gaming,East,133.61,5,668.03
2026-03-20,Keyboard Mech,Audio,South,128.85,2,257.7
2026-03-27,Laptop Pro,Gaming,Central,1136.8,1,1136.8
2026-06-19,Monitor Ultra,Accessories,North,390.91,2,781.83
2026-04-21,Laptop Pro,Electronics,South,1024.31,1,1024.31
2026-06-04,Smartphone X,Audio,Central,732.96,3,2198.88
2026-04-08,Smartphone X,Computers,South,849.14,2,1698.29
2026-04-12,Smartphone X,Computers,North,724.81,5,3624.07
2026-04-15,Smart Watch,Electronics,South,340.14,4,1360.56
2026-02-15,Keyboard Mech,Computers,North,113.61,1,113.61
2026-06-29,Wireless Earbuds,Audio,East,168.0,3,504.01
2026-07-06,Keyboard Mech,Computers,East,104.51,5,522.54
2026-06-23,Laptop Pro,Gaming,North,1119.51,1,1119.51
2026-02-06,Monitor Ultra,Computers,South,285.28,3,855.83
2026-06-11,Laptop Pro,Accessories,East,1083.99,3,3251.98
2026-07-10,Smartphone X,Accessories,North,791.89,5,3959.43
2026-04-07,Monitor Ultra,Computers,West,406.79,3,1220.38
2026-05-28,Tablet Air,Electronics,Central,536.13,3,1608.39
2026-04-19,External SSD,Audio,Central,220.19,4,880.77
2026-05-20,Tablet Air,Electronics,South,499.53,3,1498.58
2026-02-11,Keyboard Mech,Computers,West,133.05,5,665.26
2026-04-07,Laptop Pro,Computers,West,1391.34,3,4174.01
2026-06-23,Mouse Pro,Gaming,Central,95.59,3,286.76
2026-03-28,Smart Watch,Audio,North,268.48,5,1342.42
2026-02-22,External SSD,Gaming,North,219.81,3,659.44
2026-06-19,Smartphone X,Accessories,West,758.26,3,2274.77
2026-06-23,Keyboard Mech,Gaming,South,101.35,2,202.7
2026-05-18,Smartphone X,Electronics,Central,883.06,3,2649.18
2026-01-20,Keyboard Mech,Audio,Central,137.4,2,274.8
2026-01-16,Smart Watch,Audio,West,319.78,1,319.78
2026-04-11,Smartphone X,Computers,South,883.6,3,2650.79
2026-01-27,Laptop Pro,Gaming,East,1265.29,4,5061.17
2026-04-03,Tablet Air,Audio,North,417.43,1,417.43
2026-04-19,Laptop Pro,Gaming,West,1052.08,1,1052.08
2026-03-28,Keyboard Mech,Computers,Central,136.73,3,410.19
2026-04-21,Gaming Console,Electronics,West,419.47,1,419.47
2026-04-08,Tablet Air,Accessories,South,590.99,1,590.99
2026-05-05,Smart Watch,Audio,West,321.27,2,642.54
2026-03-15,Monitor Ultra,Electronics,North,304.37,2,608.74
2026-05-02,Tablet Air,Audio,West,509.42,3,1528.27
2026-05-14,Smartphone X,Gaming,Central,844.97,4,3379.87
2026-04-17,Tablet Air,Accessories,South,428.7,2,857.4
2026-04-03,External SSD,Electronics,West,200.61,2,401.22
2026-06-02,Smartphone X,Gaming,South,881.42,3,2644.27
2026-05-04,Monitor Ultra,Accessories,East,342.44,5,1712.22
2026-04-01,Gaming Console,Electronics,South,535.84,4,2143.35
2026-02-05,External SSD,Computers,East,215.43,5,1077.14
2026-05-02,Smart Watch,Gaming,North,304.86,1,304.86
2026-06-16,Tablet Air,Electronics,North,451.64,4,1806.54
2026-06-04,Monitor Ultra,Audio,West,299.86,1,299.86
2026-03-11,Gaming Console,Audio,North,497.78,1,497.78
2026-05-07,Tablet Air,Electronics,North,408.7,2,817.4
2026-04-27,Mouse Pro,Accessories,East,93.57,4,374.27
2026-01-25,Keyboard Mech,Electronics,West,111.86,5,559.28
2026-01-29,Keyboard Mech,Audio,Central,128.38,1,128.38
2026-05-18,Gaming Console,Computers,Central,453.79,2,907.57
2026-07-03,Mouse Pro,Electronics,East,87.2,3,261.59
2026-02-25,Tablet Air,Gaming,West,412.55,4,1650.21
2026-03-23,Mouse Pro,Audio,West,67.58,1,67.58
2026-06-09,External SSD,Audio,Central,210.01,2,420.03
2026-03-22,External SSD,Accessories,South,165.13,3,495.39
2026-02-11,Smartphone X,Accessories,South,694.27,4,2777.07
2026-03-07,Smart Watch,Gaming,North,259.83,4,1039.33
2026-01-17,Laptop Pro,Electronics,North,1090.93,4,4363.71
2026-06-17,Smartphone X,Audio,East,697.91,5,3489.55
2026-02-07,Mouse Pro,Computers,Central,80.9,5,404.48
2026-03-21,Tablet Air,Accessories,Central,517.48,3,1552.45
2026-04-04,Laptop Pro,Electronics,South,1157.46,5,5787.3
2026-04-25,Gaming Console,Computers,West,367.14,3,1101.41
2026-03-15,Wireless Earbuds,Computers,East,169.8,2,339.6
2026-03-14,Smart Watch,Gaming,South,269.46,3,808.37
2026-05-14,Smart Watch,Gaming,South,318.46,2,636.92
2026-02-11,Monitor Ultra,Audio,North,344.8,2,689.6
2026-05-18,Wireless Earbuds,Audio,South,137.73,2,275.45
2026-04-17,Keyboard Mech,Gaming,Central,119.78,3,359.34
2026-02-06,External SSD,Audio,North,234.68,3,704.04
2026-01-31,Wireless Earbuds,Gaming,East,144.42,5,722.12
2026-06-26,Laptop Pro,Gaming,North,1022.38,4,4089.52
2026-06-01,Laptop Pro,Accessories,West,1364.66,4,5458.65
2026-05-30,Smart Watch,Audio,East,283.03,5,1415.15
2026-03-27,Smartphone X,Accessories,South,847.11,4,3388.45
2026-04-30,Mouse Pro,Accessories,East,89.75,1,89.75
2026-05-19,External SSD,Accessories,North,176.14,2,352.27
2026-02-20,Wireless Earbuds,Electronics,Central,171.98,2,343.96
2026-02-24,External SSD,Computers,West,214.98,1,214.98
2026-04-02,Smartphone X,Audio,South,681.0,5,3404.98
2026-05-27,Laptop Pro,Electronics,Central,1318.39,1,1318.39
2026-06-04,Tablet Air,Computers,Central,508.28,2,1016.56
2026-03-06,Smart Watch,Accessories,Central,243.79,5,1218.94
2026-06-25,Monitor Ultra,Gaming,North,280.61,5,1403.05
2026-04-23,Tablet Air,Audio,North,468.52,5,2342.59
2026-07-04,Keyboard Mech,Gaming,North,110.87,4,443.47
2026-02-09,Monitor Ultra,Gaming,South,280.93,3,842.79
2026-06-15,Smart Watch,Audio,North,269.24,5,1346.21
2026-04-07,Smart Watch,Electronics,East,309.07,5,1545.34
2026-01-25,Gaming Console,Gaming,North,492.81,1,492.81
2026-02-24,External SSD,Computers,North,221.93,1,221.93
2026-05-20,Tablet Air,Gaming,East,457.81,3,1373.43
2026-05-13,Keyboard Mech,Gaming,North,111.14,1,111.14
2026-03-26,Laptop Pro,Computers,West,1167.83,5,5839.17
2026-02-18,External SSD,Audio,Central,238.19,4,952.77
2026-06-09,Monitor Ultra,Gaming,West,334.66,2,669.31
2026-02-14,Monitor Ultra,Audio,North,363.52,2,727.04
2026-06-20,Laptop Pro,Gaming,North,1064.83,1,1064.83
2026-04-14,Wireless Earbuds,Accessories,North,174.32,5,871.6
2026-06-07,Monitor Ultra,Computers,East,307.35,1,307.35
2026-07-10,Gaming Console,Accessories,East,531.66,4,2126.63
2026-04-02,Smartphone X,Electronics,West,826.1,3,2478.3
2026-06-26,Wireless Earbuds,Audio,East,124.91,3,374.74
2026-02-12,Wireless Earbuds,Gaming,North,151.3,5,756.49
2026-05-07,Smartphone X,Accessories,Central,723.11,5,3615.56
2026-04-09,Keyboard Mech,Accessories,East,127.8,5,638.99
2026-05-13,Mouse Pro,Gaming,South,90.19,5,450.95
2026-07-12,External SSD,Electronics,Central,220.43,1,220.43
2026-02-03,Wireless Earbuds,Gaming,North,161.8,4,647.2
2026-06-20,External SSD,Computers,North,217.51,1,217.51
2026-01-28,External SSD,Gaming,South,223.86,1,223.86
2026-03-09,Wireless Earbuds,Audio,West,120.86,4,483.44
2026-06-24,External SSD,Electronics,North,176.74,1,176.74
2026-06-04,Laptop Pro,Gaming,West,1188.21,4,4752.84
2026-05-22,Gaming Console,Audio,South,539.73,3,1619.18
2026-01-16,Wireless Earbuds,Accessories,West,134.85,1,134.85
2026-06-13,Mouse Pro,Gaming,West,85.7,3,257.1
2026-02-24,Wireless Earbuds,Audio,South,122.98,2,245.97
2026-03-27,Mouse Pro,Gaming,North,85.5,2,171.01
2026-02-09,Laptop Pro,Audio,East,1080.05,2,2160.1
2026-07-04,Monitor Ultra,Audio,North,341.33,2,682.67
2026-03-28,External SSD,Gaming,South,196.22,5,981.11
2026-06-10,Mouse Pro,Electronics,East,68.05,5,340.26
2026-02-11,Smartphone X,Audio,South,717.61,3,2152.82
2026-07-02,Laptop Pro,Audio,North,1215.15,2,2430.3
2026-02-07,Gaming Console,Accessories,North,461.33,5,2306.67
2026-05-20,Keyboard Mech,Audio,Central,114.01,2,228.02
2026-05-03,Gaming Console,Gaming,Central,360.54,5,1802.7
2026-05-11,Keyboard Mech,Audio,East,133.94,1,133.94
2026-04-29,Mouse Pro,Audio,Central,87.18,4,348.73
2026-06-27,Smart Watch,Accessories,South,322.61,4,1290.45
2026-01-23,Monitor Ultra,Electronics,South,364.06,3,1092.18
2026-04-29,Smart Watch,Accessories,South,333.07,5,1665.33
2026-01-16,Gaming Console,Electronics,West,495.32,1,495.32
2026-07-09,Tablet Air,Electronics,West,589.91,5,2949.57
2026-02-26,Wireless Earbuds,Electronics,North,158.27,5,791.36
2026-05-22,Keyboard Mech,Computers,Central,138.27,4,553.08
2026-04-02,Monitor Ultra,Audio,North,343.17,2,686.34
2026-03-01,Wireless Earbuds,Gaming,North,136.36,4,545.44
2026-04-11,Smart Watch,Electronics,South,324.08,1,324.08
2026-03-19,Wireless Earbuds,Computers,Central,134.33,5,671.64
2026-07-04,Laptop Pro,Electronics,North,1062.15,4,4248.6
2026-03-12,Smartphone X,Gaming,Central,672.7,1,672.7
2026-03-11,Monitor Ultra,Electronics,North,344.4,2,688.79
2026-04-27,Laptop Pro,Accessories,South,1201.24,4,4804.94
2026-01-23,Smart Watch,Electronics,North,252.77,1,252.77
2026-05-18,External SSD,Accessories,North,237.63,2,475.26
2026-05-09,Tablet Air,Electronics,West,450.76,1,450.76
2026-05-14,Keyboard Mech,Gaming,Central,125.29,3,375.87
2026-04-05,Mouse Pro,Electronics,East,72.56,4,290.26
2026-06-17,Monitor Ultra,Audio,East,407.46,5,2037.28
2026-02-05,Keyboard Mech,Audio,West,99.0,3,297.01
2026-06-03,Wireless Earbuds,Accessories,West,123.21,2,246.41
2026-07-08,Monitor Ultra,Audio,Central,371.38,1,371.38
2026-02-26,Monitor Ultra,Gaming,West,397.5,4,1590.0
2026-01-29,Monitor Ultra,Accessories,North,339.96,2,679.92
2026-03-13,Gaming Console,Audio,North,532.73,1,532.73
2026-06-13,Smart Watch,Gaming,South,294.03,2,588.05
2026-01-31,Gaming Console,Accessories,North,481.36,3,1444.08
2026-03-07,Mouse Pro,Computers,East,79.0,4,316.02
2026-03-04,Mouse Pro,Gaming,North,90.82,5,454.1
2026-03-02,Keyboard Mech,Gaming,North,116.76,1,116.76
2026-06-02,Smartphone X,Audio,East,736.65,1,736.65
2026-05-21,Monitor Ultra,Accessories,East,298.53,2,597.06
2026-02-10,Monitor Ultra,Audio,Central,341.19,5,1705.96
2026-06-09,Gaming Console,Audio,Central,474.84,4,1899.36
2026-01-23,Gaming Console,Electronics,West,369.47,2,738.93
2026-04-14,Monitor Ultra,Computers,West,316.24,5,1581.22
2026-03-24,Wireless Earbuds,Computers,South,169.1,4,676.4
2026-01-17,Gaming Console,Gaming,Central,391.31,4,1565.22
2026-02-10,Smart Watch,Accessories,Central,296.03,1,296.03
2026-02-28,Mouse Pro,Electronics,North,90.47,5,452.36
2026-01-19,External SSD,Audio,Central,208.87,3,626.61
