id,product,category,region,price,quantity,total,date,status
34,Monitor,Office,North,926.41,19,17601.79,2026-07-13,Delivered
35,Monitor,Accessories,East,1168.06,2,2336.12,2026-07-13,Shipped
36,Keyboard,Electronics,Central,1400.7,2,2801.4,2026-07-13,Delivered
37,Phone,Computers,North,748.34,14,10476.76,2026-07-13,Pending
38,Printer,Accessories,North,1609.97,2,3219.94,2026-07-13,Shipped
39,Monitor,Office,Central,525.81,11,5783.91,2026-07-13,Delivered
40,Tablet,Office,East,1566.86,12,18802.32,2026-07-13,Shipped
41,Tablet,Computers,North,498.02,12,5976.24,2026-07-13,Cancelled
42,Tablet,Computers,East,83.49,4,333.96,2026-07-13,Shipped
43,Monitor,Accessories,East,54.67,17,929.39,2026-07-13,Cancelled
44,Laptop,Computers,Central,330.45,10,3304.5,2026-07-13,Cancelled
45,Monitor,Electronics,South,1074.03,4,4296.12,2026-07-13,Cancelled
46,Mouse,Electronics,West,1659.78,1,1659.78,2026-07-13,Delivered
47,Keyboard,Computers,West,860.25,19,16344.75,2026-07-13,Pending
48,Mouse,Electronics,South,1762.03,4,7048.12,2026-07-13,Delivered
49,Monitor,Office,East,1562.66,2,3125.32,2026-07-13,Pending
50,Tablet,Accessories,South,578.04,18,10404.72,2026-07-13,Pending
51,Mouse,Accessories,Central,204.13,1,204.13,2026-07-13,Delivered
52,Phone,Office,South,658.79,4,2635.16,2026-07-13,Cancelled
53,Phone,Computers,Central,249.43,11,2743.73,2026-07-13,Cancelled
54,Mouse,Computers,West,384.36,18,6918.48,2026-07-13,Pending
55,Monitor,Computers,Central,82.25,15,1233.75,2026-07-13,Shipped
56,Tablet,Computers,North,808.24,15,12123.6,2026-07-13,Delivered
57,Keyboard,Office,South,1478.62,11,16264.82,2026-07-13,Cancelled
58,Keyboard,Office,Central,1181.75,20,23635.0,2026-07-13,Shipped
59,Mouse,Electronics,Central,334.96,20,6699.2,2026-07-13,Pending
60,Phone,Electronics,South,736.54,8,5892.32,2026-07-13,Pending
61,Keyboard,Computers,Central,853.24,8,6825.92,2026-07-13,Delivered
62,Mouse,Electronics,East,272.62,19,5179.78,2026-07-13,Pending
63,Printer,Accessories,South,592.5,1,592.5,2026-07-13,Cancelled
64,Scanner,Electronics,North,1435.57,19,27275.83,2026-07-13,Shipped
65,Phone,Computers,Central,463.31,13,6023.03,2026-07-13,Delivered
66,Laptop,Electronics,West,1986.84,1,1986.84,2026-07-13,Cancelled
67,Mouse,Office,South,1773.3,20,35466.0,2026-07-13,Shipped
68,Monitor,Electronics,Central,383.93,11,4223.23,2026-07-13,Delivered
69,Laptop,Accessories,North,1653.64,10,16536.4,2026-07-13,Delivered
70,Laptop,Electronics,Central,894.13,20,17882.6,2026-07-13,Pending
71,Printer,Accessories,West,629.41,10,6294.1,2026-07-13,Pending
72,Phone,Electronics,East,587.51,18,10575.18,2026-07-13,Delivered
73,Monitor,Electronics,North,614.87,17,10452.79,2026-07-13,Shipped
74,Monitor,Office,East,1521.93,2,3043.86,2026-07-13,Shipped
75,Scanner,Accessories,North,844.75,8,6758.0,2026-07-13,Delivered
76,Printer,Accessories,South,703.61,2,1407.22,2026-07-13,Shipped
77,Tablet,Electronics,East,432.12,7,3024.84,2026-07-13,Delivered
78,Scanner,Electronics,West,386.1,1,386.1,2026-07-13,Delivered
79,Printer,Accessories,South,1226.82,16,19629.12,2026-07-13,Delivered
80,Tablet,Office,Central,1522.48,6,9134.88,2026-07-13,Pending
81,Keyboard,Office,North,1450.66,14,20309.24,2026-07-13,Delivered
82,Printer,Office,West,321.04,7,2247.28,2026-07-13,Delivered
83,Mouse,Office,East,1493.6,18,26884.8,2026-07-13,Cancelled
84,Laptop,Computers,South,1585.09,4,6340.36,2026-07-13,Cancelled
85,Monitor,Computers,Central,866.43,9,7797.87,2026-07-13,Pending
86,Tablet,Office,West,226.84,7,1587.88,2026-07-13,Delivered
87,Tablet,Office,South,1649.15,5,8245.75,2026-07-13,Shipped
88,Mouse,Office,West,541.77,7,3792.39,2026-07-13,Shipped
89,Printer,Accessories,West,1841.56,4,7366.24,2026-07-13,Delivered
90,Laptop,Electronics,East,766.71,9,6900.39,2026-07-13,Pending
91,Scanner,Office,West,1770.4,5,8852.0,2026-07-13,Shipped
92,Keyboard,Office,West,1333.82,7,9336.74,2026-07-13,Pending
93,Laptop,Office,Central,350.43,9,3153.87,2026-07-13,Shipped
94,Laptop,Office,West,703.76,19,13371.44,2026-07-13,Pending
95,Mouse,Office,South,667.12,18,12008.16,2026-07-13,Shipped
96,Mouse,Computers,East,101.94,17,1732.98,2026-07-13,Shipped
97,Printer,Office,West,70.93,10,709.3,2026-07-13,Cancelled
98,Printer,Office,South,1243.13,2,2486.26,2026-07-13,Cancelled
99,Mouse,Office,Central,524.42,14,7341.88,2026-07-13,Delivered
100,Laptop,Computers,Central,1965.41,9,17688.69,2026-07-13,Shipped
